Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr2	0	0	0
chr2	107002	0.0270142923	0
chr2	107107	0.03102496126	2.836500691e-06
chr2	168147	0.03547651769	0.001896600136
chr2	199172	0.05397360111	0.002997259097
chr2	250936	0.05984125844	0.005791148585
chr2	576047	0.1503948778	0.02524619996
chr2	576245	0.2322942482	0.02527597814
chr2	576284	0.3142644234	0.02528503762
chr2	576297	0.3345718366	0.02528912306
chr2	577238	0.3873065282	0.02560395515
chr2	621395	0.1418952041	0.04270624952
chr2	625226	0.1853217926	0.04324985005
chr2	647358	0.1325871011	0.04735139196
chr2	758386	0.08451041348	0.06207227262
chr2	758614	0.09953943942	0.06209154099
chr2	762727	0.1614690744	0.06250094671
chr2	822436	0.09953943942	0.07214210367
chr2	861394	0.08388212526	0.07601996115
chr2	861492	0.1323108164	0.0760281816
chr2	881129	0.1571250978	0.0786263691
chr2	882200	0.1523550177	0.07879465008
chr2	891232	0.1476398747	0.0801707206
chr2	902071	0.1827943304	0.0817709892
chr2	908747	0.222564134	0.08299132415
chr2	935872	0.2575460894	0.08902837629
chr2	935954	0.2486245679	0.08904949507
chr2	986369	0.239612727	0.1015839027
chr2	994988	0.9137983798	0.1036491247
chr2	995711	1.780392374	0.104309801
chr2	996087	1.819665451	0.1049792285
chr2	998813	1.82283777	0.1099396365
chr2	998888	1.883286781	0.1100763494
chr2	999978	1.016692787	0.112129132
chr2	1001565	2.067789027	0.1137426234
chr2	1001572	2.109463282	0.1137570979
chr2	1001648	2.098770189	0.1139174171
chr2	1001726	2.100736729	0.1140811212
chr2	1004655	2.085707703	0.1202341791
chr2	1005083	2.369215603	0.121126862
chr2	1006998	2.061325797	0.1256639099
chr2	1007078	2.074955165	0.1258288159
chr2	1007257	0.3389007223	0.1262002329
chr2	1010708	0.3521226259	0.1273697793
chr2	1014697	0.3738907814	0.1287743965
chr2	1015083	0.4285702918	0.1289187183
chr2	1015275	0.4417249333	0.1290010038
chr2	1029049	0.4617158323	0.135085323
chr2	1029087	0.4977983724	0.1351028682
chr2	1029621	0.4583552149	0.1353686926
chr2	1031452	0.5381628897	0.136207941
chr2	1033564	0.5804621218	0.137344541
chr2	1071856	0.6148298056	0.1595715965
chr2	1072858	0.8303795912	0.160187656
chr2	1075047	0.8463552441	0.1620053569
chr2	1075087	1.330608331	0.1620392111
chr2	1075173	1.829998337	0.1621536435
chr2	1082709	1.851959449	0.1759445109
chr2	1082723	1.405985019	0.1759704384
chr2	1083203	1.444494893	0.1766453112
chr2	1088895	4.810626155	0.1848673761
chr2	1089731	4.556624467	0.1888890596
chr2	1090013	1.033600109	0.1901740277
chr2	1090113	1.075049667	0.1902773877
chr2	1090242	0.7903882716	0.1904160691
chr2	1090302	0.8266457074	0.1904634924
chr2	1090324	0.8265930136	0.1904816786
chr2	1090556	0.7781643224	0.1906734482
chr2	1120983	0.6689976257	0.214350654
chr2	1121316	0.6289044167	0.2145734302
chr2	1121480	0.5987413018	0.2146765705
chr2	1121483	1.351750386	0.2146783668
chr2	1122413	1.371377127	0.2159354946
chr2	1127480	1.434634219	0.2228842625
chr2	1127482	0.9320269755	0.2228871318
chr2	1127717	1.041993573	0.2231061581
chr2	1177323	4.874787695	0.2747952913
chr2	1179034	4.833104046	0.2831360531
chr2	1179037	6.245539711	0.2831505524
chr2	1179060	7.707103574	0.2832941998
chr2	1179130	10.71340973	0.2838336971
chr2	1179186	11.74337885	0.284433648
chr2	1179224	11.66655621	0.2848798964
chr2	1179228	13.23207551	0.2849265626
chr2	1179324	14.63779172	0.2861968419
chr2	1179450	14.56258967	0.2880412036
chr2	1181590	3.727345769	0.3192051455
chr2	1181655	2.314910103	0.319447423
chr2	1181684	0.8346232452	0.3195145554
chr2	1182514	0.9173175061	0.3202072927
chr2	1182808	0.7833608393	0.320476984
chr2	1184567	0.7615926838	0.3218549157
chr2	1184607	1.024678387	0.3218853794
chr2	1184757	1.06139818	0.3220390812
chr2	1185936	0.9981410878	0.3232904697
chr2	1186639	1.113195576	0.3239921628
chr2	1186676	1.340874794	0.3240333511
chr2	1186705	1.419549488	0.3240722365
chr2	1214021	1.457604285	0.3628486503
chr2	1226672	0.8780966062	0.3812888021
chr2	1227230	0.7954023452	0.38177878
chr2	1247890	0.8545797061	0.3982117924
chr2	1278386	0.9569288477	0.4242730551
chr2	1278434	2.017117787	0.4243189877
chr2	1280717	2.246949136	0.4289240676
chr2	1280998	2.391896671	0.4295554603
chr2	1285361	10.32612864	0.4399913055
chr2	1285421	10.348749	0.4406108732
chr2	1285459	21.78244006	0.4410041257
chr2	1285471	22.64101122	0.441265515
chr2	1285806	5.223742597	0.4488502537
chr2	1288908	4.031686965	0.4650543033
chr2	1288999	6.67378294	0.4654211868
chr2	1290377	6.719927883	0.4746176597
chr2	1290694	7.370941364	0.4767478768
chr2	1292590	6.851520578	0.4907231816
chr2	1292965	5.919156339	0.4932925019
chr2	1296374	2.915168515	0.5134709058
chr2	1296806	2.685337166	0.5147302586
chr2	1299400	2.070215901	0.5216960232
chr2	1299521	2.105329609	0.5219465194
chr2	1300164	2.135771587	0.5233002463
chr2	1303342	2.073485714	0.5300877284
chr2	1304428	1.68361207	0.5323395339
chr2	1304485	1.651177545	0.5324354998
chr2	1306168	1.54637707	0.5352144316
chr2	1306310	1.055403988	0.5354340171
chr2	1306390	1.182707604	0.5355184494
chr2	1306403	1.236475948	0.5355338246
chr2	1306509	1.357388227	0.5356648911
chr2	1310148	1.274623576	0.5406044268
chr2	1310200	1.230353911	0.5406707073
chr2	1310376	1.17117655	0.5408872496
chr2	1310817	2.123774689	0.5414037384
chr2	1314490	2.264133414	0.5492043629
chr2	1314774	2.281923149	0.5498473767
chr2	1314782	2.305678491	0.5498656321
chr2	1315215	2.333039285	0.5508639909
chr2	1315251	1.576403355	0.5509479803
chr2	1364199	1.93885744	0.6281097718
chr2	1364208	2.276305567	0.6281272215
chr2	1366189	5.843745243	0.6326365828
chr2	1368156	5.864881803	0.6441312297
chr2	1371552	7.106048526	0.6640483683
chr2	1371562	7.258407676	0.6641194288
chr2	1371597	8.162022522	0.6643734731
chr2	1372279	10.5241109	0.6699399724
chr2	1372481	10.46034807	0.6720658428
chr2	1374077	9.991565539	0.6887605583
chr2	1374370	9.844169849	0.691688087
chr2	1374401	8.161973062	0.6919932563
chr2	1374449	18.00021427	0.692385031
chr2	1374467	22.84358404	0.6927090349
chr2	1374961	22.42204317	0.7039937654
chr2	1375072	22.36811092	0.7064826122
chr2	1375166	18.37760949	0.7085852146
chr2	1375170	13.42947005	0.708658725
chr2	1375175	13.32200598	0.7087258724
chr2	1375223	12.91269044	0.7093653287
chr2	1375270	11.67639603	0.7099722251
chr2	1375389	11.86868096	0.7113617163
chr2	1375418	11.46801387	0.711705908
chr2	1375427	51.66756611	0.7118091201
chr2	1375454	50.70885297	0.7132041444
chr2	1375559	51.80199838	0.718528574
chr2	1375598	30.17769094	0.7205488519
chr2	1375612	21.67882991	0.7209713396
chr2	1375628	4.280608884	0.7213182009
chr2	1375823	4.606622985	0.7221529196
chr2	1376153	4.686214809	0.7236731052
chr2	1377025	4.76102918	0.7277594845
chr2	1381740	5.09038757	0.7502077371
chr2	1382700	3.49190922	0.7550945091
chr2	1386103	3.514745874	0.7669774762
chr2	1390879	3.52127757	0.7837639025
chr2	1391023	5.343730291	0.7842709665
chr2	1394958	5.391529009	0.8052985452
chr2	1395077	5.203711223	0.8059401371
chr2	1395081	3.381258501	0.805960952
chr2	1395127	6.999415617	0.8061164899
chr2	1395132	7.186591673	0.8061514869
chr2	1395155	10.99010749	0.8063167786
chr2	1395241	11.20030217	0.8072619278
chr2	1395655	10.18886517	0.8118988529
chr2	1395832	10.03650602	0.813702282
chr2	1396149	2.519825941	0.8168838544
chr2	1396165	2.605385261	0.8169241717
chr2	1396246	2.724108582	0.8171352079
chr2	1396260	2.725118355	0.8171733454
chr2	1421438	2.629662818	0.8857863753
chr2	1425060	2.501690624	0.8953110141
chr2	1427392	3.661135513	0.9011449566
chr2	1428088	3.922496196	0.9036931069
chr2	1434640	4.488027846	0.929393302
chr2	1434643	4.401013137	0.9294067661
chr2	1434647	4.338846116	0.9294243701
chr2	1434706	4.437156715	0.929680362
chr2	1434718	4.705497594	0.9297336079
chr2	1438079	4.870908311	0.9455487853
chr2	1438101	4.978972972	0.9456559453
chr2	1438627	4.649844661	0.9482748851
chr2	1439472	4.726924253	0.9522040038
chr2	1439863	4.805528034	0.9540522312
chr2	1443669	4.792601532	0.9723420709
chr2	1450363	4.699174206	1.004423746
chr2	1455859	4.473522374	1.030250407
chr2	1455874	4.281764898	1.03031751
chr2	1458377	3.137769539	1.041034767
chr2	1460434	2.748537227	1.047489159
chr2	1460533	2.467852204	1.047761265
chr2	1460570	2.410438081	1.047852575
chr2	1462055	2.371865943	1.051432076
chr2	1462113	2.237269919	1.051569644
chr2	1469071	1.909535709	1.067136568
chr2	1469692	1.731776043	1.06832239
chr2	1470442	1.845120722	1.069621222
chr2	1471561	1.696244431	1.071685912
chr2	1472319	0.9561164394	1.072971665
chr2	1473208	0.9328187884	1.073821653
chr2	1518622	0.8728783345	1.116184685
chr2	1519060	0.8473164506	1.116567006
chr2	1519171	0.8304816836	1.116661058
chr2	1520133	0.8626550045	1.117459981
chr2	1522472	0.6606125183	1.119477731
chr2	1522633	1.692155461	1.11958409
chr2	1526110	1.97793926	1.125467714
chr2	1528612	2.957962953	1.130416518
chr2	1532085	2.940969196	1.140689524
chr2	1532209	2.554820849	1.141054204
chr2	1533796	3.782088214	1.145108705
chr2	1536809	2.554820849	1.156504136
chr2	1538989	1.972399753	1.162073646
chr2	1539049	0.7527766497	1.16219199
chr2	1539069	0.7363113677	1.162207045
chr2	1539211	0.7829178281	1.162311602
chr2	1539244	0.8040581344	1.162337438
chr2	1539248	1.715124719	1.162340654
chr2	1543102	1.663546181	1.168950745
chr2	1547128	1.043328085	1.175648182
chr2	1547238	1.219064443	1.175762948
chr2	1547265	1.308466454	1.175795863
chr2	1548025	1.285629801	1.176790297
chr2	1548108	1.271618143	1.176897004
chr2	1552000	1.283967833	1.181846142
chr2	1552870	1.260370905	1.182963194
chr2	1566762	1.34388642	1.200472267
chr2	1569952	1.402391911	1.204759264
chr2	1571382	1.700381803	1.206764685
chr2	1571383	1.7992523	1.206766385
chr2	1571385	1.640393488	1.206769984
chr2	1571394	1.564559182	1.206784747
chr2	1583791	1.26656929	1.226180587
chr2	1588141	1.302708781	1.231690164
chr2	1588180	1.210430967	1.23174097
chr2	1588299	1.200551261	1.231885011
chr2	1588309	1.321666081	1.231897016
chr2	1588623	1.424463667	1.232312019
chr2	1588626	1.407164135	1.232316293
chr2	1588664	1.376572485	1.232369765
chr2	1589182	3.09377907	1.23308283
chr2	1589321	3.424243367	1.233512865
chr2	1590386	3.62524117	1.237159684
chr2	1591382	2.081972262	1.240770424
chr2	1591500	2.545362546	1.241016097
chr2	1591635	2.746985042	1.241359721
chr2	1608488	5.233707686	1.28765466
chr2	1608765	5.043533001	1.289104397
chr2	1608783	4.727911526	1.289195181
chr2	1608825	4.538321874	1.289393753
chr2	1609434	4.779174066	1.292157591
chr2	1609975	2.110271404	1.294743124
chr2	1610962	1.920272608	1.296825962
chr2	1611247	2.566405463	1.29737324
chr2	1611261	2.403040914	1.297409169
chr2	1611382	2.446531653	1.297699937
chr2	1618269	1.941682602	1.314549201
chr2	1618441	2.241761773	1.31488317
chr2	1618551	1.775057493	1.315129764
chr2	1618555	1.736507873	1.315136864
chr2	1618567	1.610071555	1.315157702
chr2	1618750	1.653639669	1.315452345
chr2	1618771	1.6870831	1.315487072
chr2	1618780	2.29583933	1.315502256
chr2	1618833	2.442878357	1.315623935
chr2	1618840	3.397128143	1.315641035
chr2	1618862	3.500253247	1.315715772
chr2	1648304	3.681460609	1.418770228
chr2	1648983	4.438887191	1.42126994
chr2	1650466	4.534713784	1.42785281
chr2	1650633	4.631072261	1.428610107
chr2	1653865	3.87364568	1.443577732
chr2	1653884	4.084453492	1.443651332
chr2	1653890	4.196377839	1.443675838
chr2	1655426	4.431216285	1.450121475
chr2	1655462	4.549631649	1.450280998
chr2	1685037	4.424753848	1.584836354
chr2	1686124	5.686786808	1.589646062
chr2	1686335	7.046756124	1.590845974
chr2	1686689	6.92834076	1.593340526
chr2	1686928	6.816416414	1.594996399
chr2	1687494	6.722061819	1.598854491
chr2	1688289	6.754914121	1.60419853
chr2	1688357	6.79410686	1.604657864
chr2	1688878	6.688438558	1.608197594
chr2	1689008	6.59208008	1.609067091
chr2	1689054	3.659151056	1.609370326
chr2	1689234	3.673479096	1.610028974
chr2	1689236	4.039468818	1.61003632
chr2	1689433	4.072766941	1.610832096
chr2	1689467	4.318285604	1.61097057
chr2	1690048	4.915463262	1.613479494
chr2	1690460	5.864236175	1.615504665
chr2	1690469	5.606525766	1.615557443
chr2	1690483	5.629765133	1.615635934
chr2	1690484	5.716485023	1.615641564
chr2	1690553	5.665128719	1.616036001
chr2	1690556	5.51051577	1.616052997
chr2	1690596	4.944398948	1.616273417
chr2	1690609	19.87159037	1.616337695
chr2	1690647	19.8200946	1.617092815
chr2	1690746	23.48177477	1.619055004
chr2	1690861	24.22911859	1.621755409
chr2	1690879	24.14226582	1.622191533
chr2	1690915	23.98835296	1.623060654
chr2	1690960	24.26088808	1.62414013
chr2	1691035	24.30122578	1.625959697
chr2	1691244	24.34160708	1.631038653
chr2	1691458	24.76081929	1.636247757
chr2	1691505	15.30105353	1.637411515
chr2	1692996	13.67129897	1.660225386
chr2	1693080	10.34516029	1.661373775
chr2	1693115	8.802940478	1.661735856
chr2	1696395	9.058028542	1.690609501
chr2	1696406	9.014537803	1.690709139
chr2	1700709	9.037910114	1.729498695
chr2	1701704	9.226083055	1.738491416
chr2	1702852	8.846319619	1.749082959
chr2	1702885	6.881117118	1.749374888
chr2	1702982	6.57038757	1.750042356
chr2	1703143	6.005629025	1.751100188
chr2	1703623	4.559137048	1.75398289
chr2	1703653	3.705381187	1.754119664
chr2	1703746	4.766909107	1.754464265
chr2	1703748	4.799163642	1.754473799
chr2	1703854	5.360212685	1.75498251
chr2	1704147	5.644131341	1.756553052
chr2	1704387	5.370749959	1.757907644
chr2	1704454	5.116418678	1.758267484
chr2	1704497	5.692034583	1.75848749
chr2	1704528	5.052501731	1.758663943
chr2	1709572	5.109764705	1.784148762
chr2	1709999	5.625347049	1.786330631
chr2	1710891	5.441786146	1.791348441
chr2	1710921	4.866170242	1.791511695
chr2	1710939	4.387710139	1.791599286
chr2	1710942	3.866017621	1.791612449
chr2	1710960	4.971177358	1.791682037
chr2	1711006	5.005614496	1.791910711
chr2	1712014	6.416702674	1.796956371
chr2	1712225	6.451502797	1.798310295
chr2	1717171	5.374329906	1.830219428
chr2	1717255	2.983024673	1.830670871
chr2	1717264	7.395622014	1.830697719
chr2	1718054	7.447590307	1.83654026
chr2	1718102	2.9410888	1.836897744
chr2	1718420	3.436938229	1.837833011
chr2	1718496	3.897874412	1.838094218
chr2	1718510	4.014514165	1.838148788
chr2	1718577	4.052884577	1.838417761
chr2	1718589	4.894880114	1.838466395
chr2	1718683	4.935117732	1.838926514
chr2	1763984	5.39941253	2.062492282
chr2	1764035	5.85184818	2.062767652
chr2	1764051	5.953345671	2.062861282
chr2	1764091	6.377651629	2.063099416
chr2	1764168	6.367617366	2.063590495
chr2	1764438	6.702329047	2.065309752
chr2	1767914	6.606965933	2.088607047
chr2	1768321	6.551458231	2.091296083
chr2	1772101	6.517293516	2.116060595
chr2	1772208	5.354143933	2.116757945
chr2	1772233	5.482200332	2.116891799
chr2	1772291	5.296907351	2.117209766
chr2	1774147	5.239644376	2.127040826
chr2	1781234	5.611745667	2.164174186
chr2	1782705	5.551497691	2.172429064
chr2	1782785	5.349952121	2.172873184
chr2	1782815	6.043295197	2.173033682
chr2	1782839	6.165277007	2.173178721
chr2	1786592	6.232803606	2.196317006
chr2	1786628	6.299923093	2.196541387
chr2	1786638	6.964031672	2.196604386
chr2	1786926	7.156593073	2.198610027
chr2	1787112	7.882497386	2.199941154
chr2	1791107	7.96951366	2.231431731
chr2	1792206	6.260657701	2.240190226
chr2	1792318	5.871543045	2.24089142
chr2	1800483	5.69821107	2.288832569
chr2	1800559	5.811456574	2.289265633
chr2	1800846	6.070110505	2.290933521
chr2	1800992	6.395395074	2.291819757
chr2	1801046	6.681444163	2.292165108
chr2	1801088	7.074672215	2.292445729
chr2	1801109	6.9724857	2.292594297
chr2	1804044	6.798301491	2.313058543
chr2	1804084	6.865734501	2.313330475
chr2	1804109	6.833315387	2.313502118
chr2	1804197	7.475000892	2.31410345
chr2	1804199	7.3508471	2.3141184
chr2	1806129	7.121890816	2.328305535
chr2	1806930	7.47296286	2.334010169
chr2	1810201	7.030686495	2.358454231
chr2	1810482	7.033192169	2.360429854
chr2	1810581	7.808557054	2.36112614
chr2	1810590	7.768438181	2.361196417
chr2	1810695	8.6424057	2.362012103
chr2	1811242	9.335753831	2.366739499
chr2	1811317	10.47412745	2.36743968
chr2	1812757	11.11679718	2.382522424
chr2	1812995	11.7059157	2.385168221
chr2	1813111	11.81233484	2.386526108
chr2	1813140	11.94037794	2.386868665
chr2	1813153	12.62535545	2.38702389
chr2	1813177	12.74344559	2.387326899
chr2	1813527	12.34711584	2.391787105
chr2	1813531	12.46567039	2.391836493
chr2	1814342	12.64120191	2.401946152
chr2	1814759	12.87402459	2.407217533
chr2	1814761	12.83564263	2.407243281
chr2	1814834	13.84928204	2.408180283
chr2	1814841	13.77244714	2.408277228
chr2	1814926	12.74501387	2.409447886
chr2	1814947	14.5324093	2.409715531
chr2	1814955	13.84006204	2.409831791
chr2	1814977	14.46411551	2.410136272
chr2	1815924	14.38820258	2.423833789
chr2	1815940	14.27924472	2.424064001
chr2	1818383	14.24480758	2.458948195
chr2	1818391	14.38609583	2.459062154
chr2	1818393	15.85776766	2.459090926
chr2	1818397	16.07673826	2.459154357
chr2	1818482	19.12482453	2.46052088
chr2	1818529	19.11039204	2.461419747
chr2	1819263	19.9087708	2.475446774
chr2	1819268	19.69178149	2.475546318
chr2	1819330	18.60022894	2.476767209
chr2	1820496	18.8502801	2.498455076
chr2	1821139	18.8973511	2.510575806
chr2	1821906	18.54814375	2.525070074
chr2	1822183	17.80834932	2.53020791
chr2	1822185	16.80976532	2.530243527
chr2	1822382	17.14779956	2.53355505
chr2	1822390	16.09667373	2.533692233
chr2	1822451	15.74130295	2.53467413
chr2	1825387	15.76279805	2.580890595
chr2	1826900	15.23418185	2.604739709
chr2	1826913	15.01608396	2.604937753
chr2	1828533	14.65141369	2.629263809
chr2	1828534	14.38297401	2.629278461
chr2	1833321	13.0973048	2.698129757
chr2	1833399	12.81735781	2.699151347
chr2	1833403	14.78320395	2.699202616
chr2	1833572	14.6934175	2.701700978
chr2	1833602	14.58656245	2.70214178
chr2	1834515	14.12784345	2.715459312
chr2	1834640	13.88631787	2.717225292
chr2	1835203	13.06732188	2.725043289
chr2	1835284	10.03389532	2.726101742
chr2	1835297	9.754171266	2.726232183
chr2	1835299	9.811012607	2.726251691
chr2	1835404	9.923544775	2.727281848
chr2	1839906	9.853857885	2.771957646
chr2	1839933	9.638347375	2.7722237
chr2	1841236	9.50487845	2.784782467
chr2	1841352	7.745857682	2.785885033
chr2	1841360	7.692320544	2.785947
chr2	1841938	7.910066191	2.790393161
chr2	1842019	7.537446299	2.791033876
chr2	1844490	7.173080126	2.809658906
chr2	1844533	7.053359228	2.809967349
chr2	1844696	6.968563856	2.811117046
chr2	1844889	6.918431181	2.812461979
chr2	1845576	6.702649366	2.817214941
chr2	1845813	6.548688578	2.818803469
chr2	1845913	6.59347454	2.819458338
chr2	1850605	6.51876635	2.850394921
chr2	1851421	6.28805437	2.855714234
chr2	1851440	6.240357876	2.855833707
