Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr3	0	0	0
chr3	953843	0.01836651831	0
chr3	953849	0.0734486619	1.101991098e-07
chr3	1001508	0.09693828341	0.003500599977
chr3	1062989	0.1525807598	0.009460462579
chr3	1171967	0.06071884407	0.02608840862
chr3	1172059	0.03722922255	0.02609399475
chr3	1172192	0.01888112603	0.02609894624
chr3	1275168	4.55868162	0.02804324907
chr3	1275342	4.722026838	0.02883645968
chr3	1276075	0.3050715577	0.03229770535
chr3	1276090	0.3597088661	0.03230228142
chr3	1303435	0.09052655422	0.04213852037
chr3	1303452	0.1476629915	0.04214005932
chr3	1313191	0.3967750123	0.04357814919
chr3	1313420	0.4953882238	0.04366901067
chr3	1313458	0.5453904509	0.04368783542
chr3	1313674	0.6458902539	0.04380563976
chr3	1368021	0.7338936465	0.07890783739
chr3	1368045	0.8771973706	0.07892545084
chr3	1368859	0.9173853452	0.0796394895
chr3	1368964	1.842323143	0.07973581496
chr3	1368985	1.938662446	0.07977450374
chr3	1370718	1.896326367	0.08313420576
chr3	1370734	1.989906803	0.08316454699
chr3	1370749	2.113648665	0.08319439559
chr3	1373568	1.351264553	0.08915277118
chr3	1393221	1.300902145	0.1157091734
chr3	1393578	2.190700846	0.1161735955
chr3	1393689	2.42478672	0.1164167633
chr3	1394510	2.600170271	0.1184075132
chr3	1401537	2.746013892	0.1366789097
chr3	1408401	2.639613742	0.155527549
chr3	1413168	2.817137491	0.1681105877
chr3	1413517	2.950605589	0.1690937687
chr3	1413544	3.182578113	0.1691734351
chr3	1414460	3.3275824	0.1720886766
chr3	1414478	5.091705414	0.1721485731
chr3	1415602	5.394218322	0.17787165
chr3	1419599	3.829610456	0.1994323406
chr3	1419951	4.010582514	0.2007803635
chr3	1419982	4.234141677	0.2009046916
chr3	1420066	4.654458506	0.2012603595
chr3	1428941	4.087665341	0.2425686787
chr3	1428955	4.102758846	0.242625906
chr3	1428994	16.25394776	0.2427859136
chr3	1429006	16.34248866	0.242980961
chr3	1429115	16.38555261	0.2447622923
chr3	1429491	8.324831406	0.25092326
chr3	1429848	4.341746591	0.2538952248
chr3	1429863	4.390581737	0.253960351
chr3	1435735	4.213057988	0.279741847
chr3	1440513	4.381462647	0.2998718381
chr3	1442088	3.31726362	0.3067726417
chr3	1443488	4.491751582	0.3114168108
chr3	1443498	4.540770699	0.3114617283
chr3	1443524	4.567984367	0.3115797884
chr3	1443533	4.296633686	0.3116209002
chr3	1446450	4.131729658	0.3241541807
chr3	1446528	4.159510215	0.3244764556
chr3	1446767	4.009942231	0.3254705785
chr3	1446899	2.835454269	0.3259998909
chr3	1462126	2.776205298	0.3691753531
chr3	1462319	2.652828178	0.3697111607
chr3	1464221	5.391159306	0.3747568399
chr3	1464227	5.274629493	0.3747891868
chr3	1464300	5.217893595	0.3751742348
chr3	1464302	4.999697375	0.3751846706
chr3	1465684	2.294952587	0.3820942524
chr3	1465822	2.319011873	0.3824109558
chr3	1465875	1.994331039	0.3825338634
chr3	1465887	2.026578855	0.3825577954
chr3	1465992	1.96954811	0.3827705862
chr3	1466071	2.81882833	0.3829261805
chr3	1466134	3.002609593	0.3831037667
chr3	1468494	3.876145245	0.3901899253
chr3	1468545	5.740972337	0.3903876087
chr3	1474126	5.590658426	0.4224279753
chr3	1474132	20.62100677	0.4224615193
chr3	1474412	6.313226631	0.4282354012
chr3	1474418	34.53451582	0.4282732805
chr3	1474433	34.99284049	0.4287912983
chr3	1474451	36.75172705	0.4294211694
chr3	1474560	11.19393247	0.4334271077
chr3	1478508	11.20264468	0.4776207531
chr3	1479479	5.496406769	0.4884985211
chr3	1480371	4.008788043	0.4934013159
chr3	1488083	3.804276407	0.5243170893
chr3	1488118	3.599597593	0.524450239
chr3	1488302	4.369276447	0.5251125649
chr3	1490568	4.120985252	0.5350133453
chr3	1491126	4.114714412	0.5373128551
chr3	1493507	2.932707764	0.5471099901
chr3	1505342	3.013297139	0.5818185865
chr3	1506629	7.525507393	0.5856966999
chr3	1507160	7.611328612	0.5896927444
chr3	1507542	7.687471434	0.5926002719
chr3	1507547	3.323442633	0.5926387092
chr3	1507670	3.563159198	0.5930474927
chr3	1509968	3.602985354	0.6012356325
chr3	1534287	3.560015101	0.6888566333
chr3	1534304	3.501515372	0.6889171536
chr3	1550659	3.408324592	0.7461844375
chr3	1550792	3.642180084	0.7466377447
chr3	1554944	3.954723261	0.7617600764
chr3	1555014	4.017444038	0.762036907
chr3	1555053	4.248071278	0.7621935873
chr3	1560156	4.276826951	0.7838714951
chr3	1560189	5.927729442	0.7840126304
chr3	1560199	5.82782783	0.7840719076
chr3	1563736	5.653528064	0.8046849347
