Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	0	0	0
chr1	122823	0.004666999829	0
chr1	178489	0.0069322557	0.0002597932125
chr1	206861	0.02681955493	0.0004564751712
chr1	253180	0.03410733182	0.001698730136
chr1	253297	0.06353745969	0.001702720694
chr1	325369	0.1179934525	0.006281992488
chr1	328305	0.7687164523	0.006628421265
chr1	328332	0.7743417394	0.006649176609
chr1	360302	0.289327031	0.03140488202
chr1	481439	0.2974605667	0.06645309058
chr1	552086	0.3756242396	0.08746778723
chr1	552134	0.4087431707	0.08748581719
chr1	742403	0.4191120468	0.1652569715
chr1	964244	0.388610042	0.2582332071
chr1	971569	0.9578101671	0.2610797757
chr1	971896	0.963217468	0.2613929796
chr1	978468	0.3940173429	0.2677232448
chr1	979279	0.4106795445	0.2680427929
chr1	980392	0.4158001716	0.2684998792
chr1	1013729	0.415432379	0.2823614095
chr1	1021284	0.4401863202	0.2855000011
chr1	1022397	0.445183898	0.2859899285
chr1	1026414	0.3400629297	0.2877782322
chr1	1208449	0.3776424973	0.3496815876
chr1	1209633	0.3735362923	0.3501287164
chr1	1218764	0.3645456912	0.3535394763
chr1	1219188	0.3785796983	0.3536940436
chr1	1499002	0.3613933303	0.4596259433
chr1	1507022	0.3744372084	0.4625243178
chr1	1507081	0.3872301313	0.4625464096
chr1	1544430	0.418414918	0.4770090678
chr1	1545064	0.4290722045	0.4772743429
chr1	1602545	0.4432305392	0.5019378422
chr1	1698120	0.4378232384	0.544299601
chr1	1698165	0.6303348448	0.5443193031
chr1	1698225	0.7379283601	0.5443571232
chr1	1698249	1.026281435	0.5443748334
chr1	1706940	1.047986809	0.5532942454
chr1	1735461	2.495819037	0.5831838772
chr1	1737758	0.8265206856	0.5889167735
chr1	1742886	0.728290657	0.5931551716
chr1	1743081	0.7468877581	0.5932971883
chr1	1744262	0.7700863099	0.5941792627
chr1	1747273	0.7088215641	0.5964979926
chr1	1793665	0.7061417368	0.6293816426
chr1	1808076	0.4998361749	0.6395578511
chr1	1808160	0.5805206422	0.6395998374
chr1	1815403	0.633023998	0.6438045484
chr1	1825117	1.211054373	0.6499537435
chr1	1825151	1.256116294	0.6499949194
chr1	1832609	0.9373258881	0.6593630347
chr1	1836751	0.9674156959	0.6632454385
chr1	1848975	0.9990622623	0.675071128
chr1	1902092	0.9267511208	0.7281383182
chr1	1902662	0.8829350621	0.7286665663
chr1	1912029	0.8806698063	0.736937019
chr1	1912126	0.8568491196	0.737022444
chr1	1912226	0.8919704116	0.7371081289
chr1	1913293	0.8656839294	0.7380598613
chr1	1913536	3.277000828	0.7382702225
chr1	1914545	3.272802117	0.7415767164
chr1	1915131	0.7879642878	0.7434945784
chr1	1934531	0.7494356908	0.7587810856
chr1	2011534	0.7055411913	0.8164898821
chr1	2011754	0.7162682307	0.8166451012
chr1	2012150	0.6622509685	0.8169287434
chr1	2020361	0.6578064078	0.8223664861
chr1	2020543	0.6393166432	0.8224862068
chr1	2022783	0.6186675973	0.8239182761
chr1	2023026	0.578202896	0.8240686124
