Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr5	0	0	0
chr5	91454	0.02368861416	0
chr5	91673	0.03109024361	5.187806501e-06
chr5	260825	0.007401629452	0.005264164694
chr5	261033	0.07087118159	0.005265704233
chr5	261350	0.1170320508	0.005288170397
chr5	322855	0.1246871144	0.01248622668
chr5	324247	0.06121756224	0.01265979114
chr5	324265	0.06969493873	0.01266089306
chr5	327386	0.07601834647	0.01287841096
chr5	348267	0.02985747726	0.01446575006
chr5	349006	0.05601068936	0.01448781473
chr5	355280	0.3212426765	0.0148392258
chr5	355369	0.3657836772	0.0148678164
chr5	355381	0.6327984695	0.0148722058
chr5	355526	0.6535488252	0.01496396158
chr5	370407	0.1213020458	0.02468942165
chr5	391781	0.1281652329	0.02728213157
chr5	392809	0.1369993885	0.02741388543
chr5	430636	0.1970464464	0.0325961613
chr5	444302	7.242306512	0.03528899804
chr5	445435	3.701120044	0.04349453132
chr5	445447	0.1525054456	0.04353894476
chr5	497453	0.0924583877	0.05147014296
chr5	502416	0.0663051756	0.05192901394
chr5	548880	0.04555481993	0.05500981762
chr5	550205	0.1375052317	0.05507017775
chr5	572988	0.377653928	0.05820295945
chr5	576526	0.6093967957	0.05953909905
chr5	579179	0.8854314891	0.06115582874
chr5	589024	0.9888884466	0.06987290176
chr5	589658	1.161380462	0.07049985703
chr5	589695	0.9212317654	0.07054282811
chr5	593548	0.9284005561	0.0740923341
chr5	593714	0.6987608506	0.07424644859
chr5	593839	0.3999623328	0.0743337937
chr5	603222	1.747682947	0.07808664027
chr5	604056	3.389504518	0.07954420784
chr5	604096	4.193706616	0.07967978803
chr5	606199	3.031682765	0.08849915304
chr5	606311	3.218347149	0.08883870151
chr5	606531	1.597270677	0.08954673788
chr5	608365	1.601582449	0.0924761323
chr5	609084	4.178438113	0.09362767008
chr5	609085	3.378447093	0.09363184852
chr5	610641	0.8015914293	0.0988887122
chr5	612885	0.8137640732	0.1006874834
chr5	612918	0.6534922324	0.1007143376
chr5	627805	0.3885964422	0.1104428764
chr5	627868	0.4198095514	0.110467358
chr5	628032	0.629519162	0.1105362068
chr5	628266	0.7244906212	0.1106835143
chr5	628484	0.7562331805	0.1108414532
chr5	629049	1.648027367	0.111268725
chr5	633714	1.241140742	0.1189567726
chr5	633738	1.268754995	0.11898656
chr5	636517	1.302616636	0.1225124302
chr5	636765	1.377469749	0.1228354791
chr5	636789	1.41489456	0.1228685383
chr5	646827	1.288549257	0.1370712499
chr5	647124	1.326161416	0.1374539491
chr5	647164	0.983318998	0.1375069955
chr5	696060	1.458895466	0.1855873613
chr5	696086	1.596658215	0.1856252925
chr5	705909	1.783972298	0.2013092662
chr5	710824	1.988282055	0.21007749
chr5	735284	1.997960089	0.2587108691
chr5	735554	4.353568867	0.2592503183
chr5	735579	4.296491616	0.2593591575
chr5	735602	4.361264537	0.2594579769
chr5	735702	4.321924965	0.2598941033
chr5	735734	4.946334786	0.2600324049
chr5	735865	4.956323552	0.2606803748
chr5	735981	5.648286832	0.2612553083
chr5	735992	6.151442622	0.2613174395
chr5	736991	6.390190867	0.2674627306
chr5	737072	6.216091408	0.2679803361
chr5	741703	6.131514397	0.2967670554
chr5	742905	4.956093037	0.3041371357
chr5	743959	4.478738573	0.3093608578
chr5	743966	4.35706638	0.3093922089
chr5	743980	4.210238887	0.3094532079
chr5	743995	4.172814076	0.3095163615
chr5	744004	3.773058594	0.3095539168
chr5	744037	3.87482302	0.3096784277
chr5	753796	4.698609906	0.3474928256
chr5	753865	4.418586439	0.3478170296
chr5	754881	4.0813761	0.3523063135
chr5	755004	4.171007547	0.3528083227
chr5	755466	1.746294805	0.3547353282
chr5	755645	1.546595225	0.355047915
chr5	755649	1.622434288	0.3550541014
chr5	756409	1.591221179	0.3562871514
chr5	783326	1.166233791	0.3991180519
chr5	783437	1.108111762	0.3992475038
chr5	783463	1.006347336	0.3992763147
chr5	783487	0.8712166812	0.3993004671
chr5	796766	0.8443977599	0.4108693534
chr5	797459	0.6346727942	0.411454521
chr5	797529	0.740619564	0.4114989481
chr5	797544	0.5275734709	0.4115100574
chr5	797651	0.5935426449	0.4115665078
chr5	798316	0.795118422	0.4119612136
chr5	801408	0.8126774352	0.4144197198
chr5	818220	1.099674998	0.4280824529
chr5	824412	1.044736559	0.4348916404
chr5	826432	0.5561632192	0.4370020083
chr5	845623	0.588845414	0.4476753366
chr5	846974	0.7120238977	0.4484708668
chr5	847000	0.746948726	0.4484893794
chr5	847058	0.7820495472	0.4485327024
chr5	873130	0.7669550919	0.4689222982
chr5	873138	0.781280106	0.4689284339
