Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr4	0	0	0
chr4	96021	0.03155413499	0
chr4	107977	0.06638686383	0.0003772612379
chr4	222957	0.1083955466	0.008010422841
chr4	223045	4.370445446	0.008019961649
chr4	223321	10.57752327	0.009226204592
chr4	223374	17.29131296	0.009786813326
chr4	223381	23.4293412	0.009907852517
chr4	223971	6.260427098	0.02373116383
chr4	224034	23.74225242	0.02412557073
chr4	224204	0.1650027561	0.02816175365
chr4	224628	0.2079983198	0.02823171481
chr4	224657	0.2523409732	0.02823774677
chr4	234101	0.2939165229	0.03062085492
chr4	254232	0.3540120675	0.03653768844
chr4	254355	0.4826842166	0.03658123192
chr4	254394	0.6138618452	0.03660005661
chr4	254418	0.7455430938	0.03661478929
chr4	301148	0.9860406603	0.07145401806
chr4	301165	1.460478524	0.07147078076
chr4	315047	1.41613587	0.09174514362
chr4	315086	1.350069205	0.09180037292
chr4	315504	5.9166852	0.09236470185
chr4	315557	7.484812133	0.09267828616
chr4	315674	9.128162868	0.09355400918
chr4	317814	8.887665302	0.1130882777
chr4	317850	24.94336894	0.1134082337
chr4	317936	31.51407786	0.1155533634
chr4	318010	31.27613589	0.1178854052
chr4	318098	15.11431153	0.1206377051
chr4	318113	11.22406759	0.1208644198
chr4	318369	12.36684533	0.1237377811
chr4	318428	14.81082852	0.124467425
chr4	318546	8.240119602	0.1262151027
chr4	320068	8.799976599	0.1387565648
chr4	320137	15.52755976	0.1393637632
chr4	320928	14.0436161	0.1516460629
chr4	321322	13.92358926	0.1571792477
chr4	321326	10.55257795	0.157234942
chr4	321752	2.260221159	0.1617303402
chr4	321797	2.311864364	0.1618320502
chr4	324719	1.511867619	0.1685873179
chr4	325008	3.311988016	0.1690242476
chr4	328080	1.414162931	0.1791986748
chr4	328974	1.454899021	0.1804629364
chr4	329085	0.9385867134	0.1806244302
chr4	330507	0.8970111637	0.1819591005
chr4	330510	0.9314414459	0.1819617916
chr4	330543	0.9519037336	0.1819925291
chr4	331029	1.070872377	0.1824551544
chr4	331251	1.130980539	0.182692888
chr4	331412	1.190243801	0.1828749759
chr4	331958	1.204106871	0.183524849
chr4	332499	0.7279275702	0.1841762708
chr4	396245	6.145747464	0.2305787417
chr4	397701	3.392909247	0.23952695
chr4	397749	0.7279275702	0.2396898097
chr4	397933	0.6678194084	0.2398237483
chr4	397951	0.6079268104	0.2398357691
chr4	398876	0.4449108128	0.2403981014
chr4	398918	0.3908921274	0.2404167876
chr4	399409	0.2876356427	0.2406087157
chr4	400727	3.941357104	0.2409878195
chr4	401824	0.2876356427	0.2453114882
chr4	525541	0.3991430135	0.280896907
chr4	525576	18.49290681	0.280910877
chr4	525736	42.58228449	0.2838697421
chr4	525804	25.28261767	0.2867653374
chr4	525872	25.26302279	0.2884845554
chr4	525904	1.732166902	0.2892929722
chr4	525943	1.69109799	0.2893605267
chr4	525979	6.516824766	0.2894214062
chr4	526161	6.559660423	0.2906074683
chr4	526422	6.759740253	0.2923195397
chr4	526434	6.853601224	0.2924006566
chr4	526514	6.875940215	0.2929489447
chr4	526729	6.96233262	0.2944272718
chr4	526759	7.120871459	0.2946361418
chr4	526817	2.934755856	0.2950491523
chr4	542726	4.302719147	0.3417381833
chr4	542857	4.070780461	0.3423018395
chr4	544596	2.773823935	0.3493809267
chr4	545656	1.193103468	0.3523211801
chr4	547773	1.264795041	0.3548469801
chr4	548167	1.866661914	0.3553453093
chr4	548326	3.084939252	0.3556421086
chr4	558198	3.093361291	0.3860966289
chr4	558355	3.100263118	0.3865822866
chr4	558843	3.108696586	0.388095215
chr4	558978	3.117132451	0.388514889
chr4	559992	3.132640143	0.3916756613
chr4	561145	3.155839919	0.3952875954
chr4	561486	1.021697771	0.3963637368
chr4	561513	0.7733459576	0.3963913227
chr4	562792	0.7803003313	0.3973804322
chr4	563336	0.8314959766	0.3978049155
chr4	563739	0.9001343436	0.3981400084
chr4	564102	0.9241469534	0.3984667572
chr4	603681	0.8380873577	0.4350435695
chr4	603850	0.8613475842	0.4351852062
chr4	604211	0.8098139374	0.4354961527
chr4	619518	0.7407776598	0.4478919746
chr4	619731	0.6041442645	0.4480497603
chr4	619783	0.6605309173	0.4480811758
chr4	619839	0.7064222888	0.4481181655
chr4	620092	0.8165993812	0.4482968904
chr4	620427	0.8759773617	0.4485704511
chr4	620542	0.9845782353	0.4486711885
chr4	621081	0.9707151651	0.4492018762
chr4	639133	0.9175526795	0.4667252264
chr4	656471	0.901816584	0.4826337547
chr4	657449	0.7932157104	0.4835157314
chr4	657677	0.8896671941	0.4836965845
chr4	687929	2.233696932	0.5106107965
chr4	688503	2.707953689	0.5118929385
chr4	688581	4.70324237	0.5121041589
chr4	688596	4.74886606	0.5121747076
chr4	688735	4.75487895	0.5128347999
chr4	689396	4.89740056	0.5159777749
chr4	689843	5.072379888	0.518166913
chr4	690721	3.863999156	0.5226204625
chr4	690863	4.040467806	0.5231691504
chr4	690866	2.68351185	0.5231812718
chr4	693170	2.711979348	0.5293640831
chr4	693320	2.804882773	0.52977088
chr4	693445	3.007849421	0.5301214903
chr4	733596	2.918809491	0.6508896524
chr4	733911	2.933844693	0.6518090774
chr4	733953	8.085274046	0.6519322989
chr4	734942	8.201785126	0.6599286349
chr4	734962	8.229049102	0.6600926706
chr4	736157	38.59368882	0.6699263843
chr4	736289	6.256480943	0.6750207512
chr4	736463	6.163577519	0.6761093789
chr4	736481	6.112715476	0.6762203233
chr4	737208	5.808422608	0.6806642675
chr4	737486	5.562811069	0.682279009
chr4	737495	4.723440485	0.6823290743
chr4	737513	3.790778955	0.6824140962
chr4	737674	2.713613558	0.6830244116
chr4	737712	2.920575706	0.6831275289
chr4	745595	2.07312575	0.7061504272
chr4	745689	2.387355117	0.706345301
chr4	775716	2.236480454	0.7780304131
chr4	775777	1.965420652	0.7781668385
chr4	776013	11.17951822	0.7786306777
chr4	776139	11.20208958	0.780039297
chr4	776167	24.32399163	0.7803529555
chr4	776445	24.11702948	0.7871150252
chr4	776448	14.25658707	0.7871873763
chr4	776465	0.6762425534	0.7874297383
chr4	935799	0.6522038001	0.8951781693
chr4	935811	1.100403373	0.8951859957
chr4	935850	2.172055473	0.8952289115
chr4	935916	2.360770209	0.8953722671
chr4	936799	2.479736287	0.8974568272
chr4	937546	4.745217898	0.8993091902
chr4	939518	1.879962855	0.9086667599
chr4	939859	2.103727606	0.9093078272
chr4	953673	2.104245933	0.9383687204
chr4	953678	1.816770535	0.9383792416
chr4	953691	1.549242417	0.9384028596
chr4	953715	1.938981005	0.9384400415
chr4	963974	1.775089426	0.9583320476
chr4	964045	1.909830155	0.9584580789
chr4	964097	1.895160763	0.9585573901
chr4	964098	1.521154218	0.9585592853
chr4	964111	1.791234905	0.9585790603
chr4	965387	1.87285169	0.960864676
chr4	965441	1.557995522	0.96096581
chr4	965443	1.821225241	0.960968926
chr4	965776	1.789086169	0.961575394
chr4	965989	2.023094189	0.9619564694
chr4	973815	1.647284011	0.9777892045
chr4	973838	2.121569328	0.977827092
chr4	973866	2.202246404	0.977886496
chr4	974027	2.214178317	0.9782410576
chr4	975991	2.232228769	0.9825897038
chr4	976147	2.244721156	0.9829379315
