Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr10	0	0	0
chr10	104675	0.3662301643	0
chr10	128549	0.01937522202	0.008743378941
chr10	128550	0.02730566973	0.008743398317
chr10	128553	0.03357381938	0.008743480234
chr10	271473	0.1080416215	0.0135418505
chr10	532067	0.02511301839	0.0416968488
chr10	576159	0.0807031346	0.04280413201
chr10	650640	0.01718257067	0.04881498218
chr10	650825	0.03559862658	0.04881816095
chr10	650838	0.06554472489	0.04881862373
chr10	663847	0.1601682197	0.04967129506
chr10	665682	0.2272361112	0.04996520374
chr10	669157	0.3064115294	0.05075484923
chr10	786438	0.236820835	0.08669109981
chr10	789100	0.2006065871	0.08732151687
chr10	789180	1.842077116	0.0873375654
chr10	790522	1.809391839	0.08980963289
chr10	791989	0.2733017013	0.09246401072
chr10	806678	0.2868475177	0.09647853941
chr10	806797	0.05182410588	0.09651267427
chr10	806903	0.3168512406	0.09651816762
chr10	807099	1.572512512	0.09658027046
chr10	823215	8.23294904	0.1219228821
chr10	823506	13.48727321	0.1243186703
chr10	823510	28.51054032	0.1243726194
chr10	823720	20.3117137	0.1303598328
chr10	823935	10.56957853	0.1347268513
chr10	824294	0.9077840815	0.13852133
chr10	857468	0.03412241521	0.1686361591
chr10	857473	0.04628373792	0.1686363297
chr10	858256	0.05847309432	0.1686725699
chr10	858314	0.09390482108	0.1686759613
chr10	858333	0.1725417448	0.1686777455
chr10	858417	0.2201798214	0.168692239
chr10	919249	0.2471342011	0.1820862179
chr10	919278	0.1791974148	0.1820933848
chr10	926754	0.1921959814	0.1834330647
chr10	926928	0.2357682515	0.1834665068
chr10	1009963	0.2988643142	0.2030435235
chr10	1193216	0.2494045399	0.2578113057
chr10	1197898	0.2385834289	0.2589790178
chr10	1197909	0.4216449619	0.2589816422
chr10	1197930	0.4895517874	0.2589904967
chr10	1197956	0.8183145851	0.2590032251
chr10	1245064	0.9053296712	0.2975523886
chr10	1245097	0.6243659984	0.2975822644
chr10	1245118	0.9429194034	0.2975953761
chr10	1245170	1.728738443	0.2976444079
chr10	1245267	2.008274224	0.2978120956
chr10	1245282	2.909318126	0.2978422197
chr10	1249887	2.39182213	0.3112396296
chr10	1255185	2.032956507	0.3239115033
chr10	1255227	2.700086717	0.3239968875
chr10	1257847	3.857386734	0.3310711147
chr10	1261509	9.088308337	0.3451968649
chr10	1261510	9.29883037	0.3452059532
chr10	1261520	9.326135101	0.3452989415
chr10	1261899	9.748492856	0.3488335467
chr10	1262012	2.587650183	0.3499351264
chr10	1262729	2.613099394	0.3517904716
chr10	1353061	2.749929396	0.587836966
chr10	1354222	2.660125525	0.591029634
chr10	1354346	2.560150385	0.5913594896
chr10	1406819	51.00389943	0.7256982608
chr10	1406906	5.312457232	0.7301356
chr10	1407561	5.771732432	0.7336152595
chr10	1407658	10.6761849	0.7341751176
chr10	1412094	9.052449444	0.7815346738
chr10	1412095	9.477128174	0.7815437262
chr10	1412106	8.546281177	0.7816479746
chr10	1412109	8.518696299	0.7816736135
chr10	1413150	8.491392288	0.7905415763
chr10	1413157	19.8853245	0.7906010161
chr10	1413467	18.46496385	0.7967654667
chr10	1413469	18.43764705	0.7968023966
chr10	1413502	19.23140987	0.7974108389
chr10	1413507	18.41440687	0.797506996
chr10	1413580	52.81572301	0.7988512477
chr10	1413584	53.75395266	0.7990625106
chr10	1413620	63.53754141	0.8009976529
chr10	1413808	26.22489701	0.8129427107
chr10	1414238	27.32636214	0.8242194164
chr10	1414341	14.83420345	0.8270340317
chr10	1414450	17.94444796	0.8286509599
chr10	1414451	18.48546553	0.8286689043
chr10	1414520	21.12334567	0.8299444014
chr10	1414536	17.79955401	0.830282375
chr10	1417913	16.83509851	0.8903914688
chr10	1417997	32.84661885	0.8918056171
chr10	1418406	18.18056114	0.9052398842
chr10	1418468	18.53440277	0.906367079
chr10	1421420	14.77015749	0.961080636
chr10	1422090	38.16228995	0.9709766415
chr10	1422104	35.49350386	0.9715109136
chr10	1422149	34.4962959	0.9731081212
chr10	1422196	33.40384011	0.9747294471
chr10	1422260	31.83965268	0.9768672929
chr10	1422267	5.731722897	0.9770901705
chr10	1422305	6.028398695	0.977307976
chr10	1422337	4.489677398	0.9775008847
chr10	1424914	3.119939043	0.9890707834
chr10	1424917	2.484029437	0.9890801432
chr10	1424925	4.250620061	0.9891000154
chr10	1424937	6.868216814	0.9891510229
chr10	1424978	8.048307988	0.9894326197
chr10	1428990	7.029757571	1.021722431
chr10	1429012	7.233267031	1.021877086
chr10	1429015	7.80992545	1.021898786
chr10	1429252	8.064262234	1.023749738
chr10	1430614	9.730758369	1.034733263
chr10	1435757	10.31209832	1.084778554
chr10	1435802	11.26158274	1.085242598
chr10	1436153	10.51408185	1.089195414
chr10	1436195	8.233965274	1.089637005
chr10	1436261	15.09732356	1.090180447
chr10	1436346	15.41413864	1.091463719
chr10	1436851	9.36437813	1.099247859
chr10	1438545	9.815899426	1.115111116
